95503,3716
100623,3866
105644,3871
120655,3765
125590,3774
135683,3700
140620,3756
150667,3830
155635,3883
160709,3787
170568,3801
175615,3877
190635,3779
195532,3828
205638,3776
210725,3739
215664,3849
220651,3861
225612,3788
235519,3837
240545,3764
245523,3740
250504,3818
265503,3807
275503,3865
280738,3806
285606,3863
290632,3857
305539,3714
310510,3784
320632,3876
325561,3803
330575,3708
335580,3785
340674,3762
350530,3853
360536,3714
370546,3733
375883,3819
385503,3843
390504,3792
395503,3765
400606,3762
405532,3756
415664,3841
425526,3704
440539,3855
445516,3831
450699,3786
455590,3748
460610,3766
465513,3707
470719,3771
475529,3768
490658,3826
495574,3895
500533,3792
505673,3821
510610,3723
515577,3734
520555,3826
525616,3795
530600,3856
535503,3743
540635,3803
545532,3725
550568,3774
585571,3732
590504,3703
595564,3762
600504,3701
605503,3702
610706,3795
615574,3829
620555,3738
625519,3870
630610,3787
640524,3827
650510,3790
655503,3774
660504,3820
665571,3749
670619,3720
675545,3860
685612,3784
690626,3882
700510,3709
705599,3850
710588,3725
715606,3799
720510,3833
725503,3727
730568,3819
740510,3764
750654,3871
755548,3878
760642,3893
765603,3859
775721,3728
780513,3834
785503,3741
795625,3881
800510,3814
815721,3741
860568,3816
865606,3763
870645,3850
875622,3809
890510,3882
895606,3898
900510,3722
905673,3745
910510,3725
915609,3711
920542,3711
925740,3802
930607,3831
935670,3791
940719,3842
950571,3822
955651,3894
960555,3862
965503,3838
970565,3718
975510,3807
990597,3770
995510,3793
1000545,3743
1015532,3720
1020626,3881
1025558,3815
1030568,3894
1035529,3792
1040510,3819
1045712,3703
1055587,3855
1075638,3746
1080645,3856
1085506,3740
1090584,3722
1095609,3831
1100716,3751
1105667,3732
1115686,3797
1120561,3848
1135551,3702
1140510,3823
1150587,3785
1155670,3844
1160510,3858
1165644,3839
1170677,3703
1185503,3791
1190520,3863
85502,3762
90522,3733
95605,3716
105547,3871
110575,3727
115534,3845
120538,3765
130541,3798
135592,3700
140548,3756
145637,3881
150512,3830
155534,3883
160516,3787
165502,3813
170628,3801
175508,3877
180522,3770
185537,3798
190522,3779
195557,3828
200535,3835
205626,3776
210620,3739
215669,3849
220621,3861
225547,3788
230503,3723
235692,3837
245579,3740
250519,3818
255541,3862
260510,3832
265502,3807
270599,3897
275599,3865
280506,3806
285585,3863
290503,3857
295518,3790
300515,3863
305592,3714
310503,3784
315662,3781
320663,3876
325567,3803
330522,3708
335537,3785
340525,3762
345557,3755
355502,3757
360503,3714
365609,3820
370618,3733
375784,3819
380551,3727
385525,3843
390506,3792
395576,3765
400538,3762
405502,3756
410503,3723
415606,3841
420503,3863
425558,3704
430509,3845
435576,3722
440650,3855
445626,3831
450519,3786
455512,3748
460509,3766
465623,3707
470574,3771
475581,3768
480519,3783
485531,3883
490512,3826
495563,3895
500612,3792
505531,3821
510522,3723
515702,3734
520503,3826
525525,3795
530536,3856
535573,3743
540588,3803
545502,3725
550506,3774
555682,3713
560628,3749
565541,3711
570509,3800
575509,3710
580702,3743
585505,3732
590513,3703
595525,3762
600509,3701
605502,3702
610519,3795
615502,3829
620702,3738
625567,3870
630544,3787
635534,3702
645554,3798
650506,3790
655505,3774
660512,3820
665625,3749
670515,3720
675576,3860
680540,3750
685505,3784
690503,3882
695583,3771
700639,3709
705576,3850
715560,3799
720522,3833
725623,3727
730575,3819
735544,3750
740541,3764
745505,3821
750655,3871
755563,3878
760528,3893
765585,3859
770590,3761
775512,3728
780515,3834
785531,3741
790519,3751
795550,3881
800522,3814
805548,3872
810506,3739
815502,3741
820545,3756
825502,3822
830663,3852
835573,3721
840522,3741
845560,3765
850506,3722
855583,3793
865635,3763
870503,3850
875502,3809
880515,3712
885553,3896
890545,3882
895569,3898
900522,3722
905557,3745
910547,3725
915508,3711
920545,3711
925614,3802
930509,3831
935573,3791
940515,3842
945502,3823
950516,3822
955505,3894
960519,3862
965570,3838
970569,3718
975515,3807
980545,3801
985705,3773
990519,3770
995682,3793
1000522,3743
1005547,3786
1010538,3728
1015610,3720
1020506,3881
1025583,3815
1030522,3894
1035505,3792
1045659,3703
1050503,3894
1055631,3855
1060638,3834
1065576,3794
1070503,3885
1075518,3746
1080519,3856
1085505,3740
1090610,3722
1095606,3831
1100564,3751
1105560,3732
1110569,3729
1115608,3797
1120509,3848
1125538,3889
1135502,3702
1140522,3823
1145589,3889
1150556,3785
1155698,3844
1165541,3839
1170503,3703
1175718,3743
1180525,3829
1185661,3791
1190641,3863
1195758,3706
